author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Gong, Yifan",0.0009,0.0,0.0,0.1067,7,4,4,2,2,60,0,0,0,0,0,1
"Shipman, Galen M.",0.0031,0.0,8766.8,0.0876,,,,,,,,,,,,
"Huang, Xiangru",0.0016,0.0,0.0,0.113,5,2,2,1,1,16,0,0,0,0,0,1
"Qiu, Judy",0.0038,0.0,0.0,0.0753,159,22,19,47,33,2935,0,3,0,1,0,1
"Jiang, Jiaxin",0.0025,0.0,0.0,0.1158,,,,,,,0,0,0,0,0,1
"Alvaro, Peter",0.0038,0.0,7955.1667,0.0747,29,13,12,15,13,1626,0,2,1,0,0,3
"Kotalik, Justin",0.0016,0.0,0.0,0.1151,,,,,,,0,0,0,0,0,1
"Harlap, Aaron",0.0025,0.0,85691.7195,0.1435,5,1,1,0,0,1,0,0,0,0,0,2
"Gilad, Yossi",0.0035,0.0,50015.6472,0.1205,31,8,7,4,3,166,0,0,0,0,0,3
"Rijswijk-Deij, Roland Van",0.0019,0.0,0.0,0.0989,,,,,,,,,,,,
"Ranjan, Ashish",0.0031,0.0,0.0,0.1067,7,4,4,3,3,118,0,0,0,0,0,1
"Ranjan, Tanvi",0.0013,0.0,0.0,0.0944,2,1,1,0,0,1,0,0,0,0,0,1
"Stabile, Jim",0.0035,0.0,0.0,0.137,,,,,,,0,0,0,0,0,1
"Wu, Le",0.0019,0.0,0.0,0.1066,20,7,7,5,5,194,0,0,0,0,0,1
"Dong, Mingkai",0.0003,0.0,0.0,0.1063,,,,,,,0,0,0,0,0,1
"Zhang, Junxue",0.0013,0.0,0.0,0.1111,,,,,,,0,0,0,0,0,1
"Pu, Jing",0.0013,0.0,0.0,0.0852,16,4,4,3,3,251,0,0,0,0,0,1
"Nayak, Kartik",0.0019,0.0,0.0,0.082,13,5,5,5,5,180,0,0,0,0,0,1
"Tawarmalani, Mohit",0.0006,0.0,0.0,0.0865,85,20,16,28,24,3707,0,0,0,0,0,1
"Khazraee, Moein",0.0009,0.0,0.0,0.1126,6,3,3,1,1,28,0,0,0,0,0,1
"Musaloiu-E, Raluca",0.0019,0.0,0.0,0.0893,,,,,,,,,,,,
"Kim, Changsu",0.0013,0.0,0.0,0.111,,,,,,,0,0,0,0,0,1
"Mahajan, Yogesh",0.0019,0.0,0.0,0.0921,,,,,,,0,0,0,0,0,1
"Pokam, Gilles A.",0.0013,0.0,0.0,0.1016,,,,,,,,,,,,
"Zohner, Michael",0.0016,0.0,0.0,0.1027,22,11,11,12,12,446,0,0,0,0,0,1
"Yaglikçi, Abdullah Giray",0.0028,0.0,0.0,0.1316,,,,,,,,,,,,
"Hong, Richang",0.0013,0.0,0.0,0.0851,157,28,28,62,59,4878,0,0,0,0,0,1
"Bosschere, Koen De",0.0016,0.0,0.0,0.0853,371,38,23,110,57,5209,0,0,0,0,0,1
"Wang, Shiqi",0.0019,0.0,0.0,0.0947,,,,,,,0,0,0,0,0,1
"Burckhardt, Sebastian",0.0031,0.0,0.0,0.0919,73,24,21,35,32,2185,0,0,0,0,0,1
"Jain, Vivek",0.0016,0.0,0.0,0.0866,,,,,,,0,0,0,0,0,1
"Zhang, Weigong",0.0013,0.0,0.0,0.105,,,,,,,0,0,0,0,0,1
"Lin, Jiexi",0.0053,0.0001,0.0,0.1246,,,,,,,0,0,0,0,0,1
"Lau, Francis Chi-Moon",0.0009,0.0,0.0,0.0943,,,,,,,,,,,,
"Wolf, Matthew",0.0075,0.0,15410.8046,0.1144,133,23,17,45,34,1874,0,0,0,0,0,5
"Sheng, Victor S.",0.0019,0.0,0.0,0.1144,109,20,16,32,30,3356,0,0,0,0,0,1
"Lan, Haidong",0.0016,0.0014,0.0,0.0903,,,,,,,0,0,0,0,0,2
"Szaday, Justin Josef",0.0035,0.0,0.0,0.1176,,,,,,,0,0,0,0,0,1
"Chothia, Zaheer",0.0009,0.0,0.0,0.0954,,,,,,,0,0,0,0,0,1
"Wang, Hao",0.0085,0.0013,447612.2589,0.1173,19,4,4,1,1,45,0,0,0,0,0,1
"Ayguadé, Eduard",0.0047,0.0007,94330.4117,0.1023,,,,,,,,,,,,
"Shalf, John",0.0056,0.0,34966.5,0.1259,268,48,35,113,80,11438,0,1,1,1,0,5
"Mansky, William",0.0019,0.0,28795.7324,0.0882,17,4,4,3,3,95,0,0,0,0,0,2
"Whitaker, Andrew",0.0047,0.0,0.0,0.0885,,,,,,,0,0,0,0,0,1
"Guo, Zhishan",0.0013,0.0,0.0,0.0921,47,11,10,12,11,482,0,0,0,0,0,1
"Williams, Hugh",0.0038,0.0,0.0,0.0786,144,35,22,77,45,4202,0,0,0,0,0,1
"Ionescu, Mihai",0.0006,0.0,0.0,0.1031,16,9,4,8,1,158,0,0,0,0,0,1
"Kong, Xiangnan",0.0013,0.0,0.0,0.0921,68,20,20,31,31,1358,0,2,0,0,0,1
"Heninger, Nadia",0.0022,0.0,0.0,0.0859,32,14,13,15,14,1908,0,0,1,0,0,1
"Engler, Dawson R.",0.0016,0.0,0.0,0.1091,,,,,,,,,,,,
"Tseng, Hung-Wei",0.0028,0.0,18395.0768,0.1347,23,10,8,10,7,418,0,1,0,0,0,2
"Almeida, José Bacelar",0.0035,0.0,2.0476,0.0643,61,15,11,19,11,514,0,0,0,0,0,2
"Tomescu, Alin",0.0003,0.0,0.0,0.1151,,,,,,,0,0,0,0,0,1
"Pullum, Laura L.",0.0013,0.0,0.0,0.0843,,,,,,,,,,,,
"Wang, Yanzhi",0.0053,0.0,271.6079,0.1241,855,21,21,50,50,2160,0,0,0,0,0,2
"Sadayappan, P.",0.0028,0.0,15910.6667,0.1041,523,57,39,211,117,11961,0,2,2,0,1,2
"Khan, Essam Muhammad Idris",0.0013,0.0,0.0,0.1016,,,,,,,,,,,,
"Dublish, Saumay",0.0006,0.0,0.0,0.0768,3,1,1,0,0,2,0,0,0,0,0,1
"Lepers, Baptiste",0.0025,0.0,4.0,0.0962,14,6,6,6,6,296,0,0,0,0,0,2
"Zhang, Lintao",0.0022,0.0,0.0,0.1065,49,26,17,34,27,8655,0,0,0,0,0,1
"Rathnayake, Thilina",0.0085,0.1871,0.0,0.1022,5,1,1,1,1,28,0,0,0,0,0,1
"Wen, Yonggang",0.0009,0.0,0.0,0.0793,199,33,32,71,66,3943,0,0,0,0,0,1
"Ma, Kaisheng",0.0022,0.0,0.0,0.1169,32,9,9,8,8,301,0,0,0,0,0,1
"Bergman, Aran",0.0019,0.0,0.0,0.1245,19,4,4,2,1,55,0,0,0,0,0,1
"Ausavarungnirun, Rachata",0.0035,0.0,10738.8701,0.1347,33,12,12,13,13,704,0,0,0,0,0,2
"Zhou, Wei",0.0016,0.0,0.0,0.0812,,,,,,,0,0,0,0,0,1
"Orr, Marc S.",0.0016,0.0,0.0,0.1146,,,,,,,,,,,,
"Ryoo, Jee Ho",0.0019,0.0,3829.7681,0.1069,14,4,4,1,1,88,0,0,0,0,0,3
"Culberson, Joseph",0.0016,0.0,0.0,0.0954,,,,,,,0,0,0,0,0,1
"Stefan, Deian",0.0016,0.0,0.0,0.1091,69,18,16,26,26,1044,0,1,0,0,0,1
"Das, Sanjoy",0.0022,0.0,0.0,0.1068,,,,,,,0,0,0,0,0,1
"Lee, Wonchan",0.0022,0.0,0.0,0.0875,56,16,13,20,16,652,0,0,0,0,0,1
"Li, Tao",0.0022,0.0,30295.215,0.1077,,,,,,,0,3,0,0,0,6
"Siegel, Howard Jay",0.0044,0.0,7952.5,0.0979,,,,,,,,,,,,
"Li, Jerry",0.0009,0.0,0.0,0.0853,20,6,6,5,5,128,0,0,0,0,0,1
"Liu, Mengxing",0.0019,0.0,0.0,0.1231,1,1,1,1,1,11,0,0,0,0,0,1
"Breternitz, Mauricio",0.0016,0.0,0.0,0.1148,114,18,13,31,18,1058,0,0,0,0,0,1
"Zhao, Hongke",0.0019,0.0,0.0,0.1066,15,2,2,1,1,22,0,0,0,0,0,1
"Qazi, Zafar Ayyub",0.0016,0.0,0.0,0.1223,,,,,,,,,,,,
"Kim, Doo-Young",0.0025,0.0,0.0,0.109,,,,,,,,,,,,
"Freedman, Michael J.",0.0063,0.0,448425.0129,0.1453,135,39,32,73,66,10097,0,0,0,0,0,4
"Zhai, Yan",0.0009,0.0,0.0,0.1199,,,,,,,0,0,0,0,0,1
"Cho, Hyeon-Gyu",0.0025,0.0,0.0,0.109,,,,,,,,,,,,
"Cornebize, Tom",0.0022,0.0,0.0,0.0944,7,1,1,1,1,17,0,0,0,0,0,1
"Ji, Xiaoyu",0.0025,0.0,15910.0,0.1082,14,5,5,2,2,56,0,0,0,0,0,2
"Zhang, Tong",0.0016,0.0001,0.0,0.105,,,,,,,0,0,0,0,0,2
"Byna, Surendra",0.0016,0.0,0.0,0.0976,,,,,,,,,,,,
"Lee, Donghyuk",0.0088,0.0,192562.6348,0.143,43,16,15,17,16,1145,0,0,0,0,0,6
"Sato, Kento",0.0035,0.0,39910.3359,0.1024,53,8,8,7,7,348,0,1,0,0,0,2
"Veidenbaum, Alexander V.",0.0035,0.0,0.0,0.1176,,,,,,,,,,,,
"Stewart, Randall R.",0.0009,0.0,0.0,0.1085,,,,,,,,,,,,
"Ji, Ye",0.0019,0.0,0.0,0.1084,,,,,,,0,0,0,0,0,1
"Llort, Germán",0.0016,0.0007,0.0,0.1021,,,,,,,0,0,0,0,0,1
"Grimberg, Sagi",0.0025,0.0,0.0,0.108,,,,,,,0,0,0,0,0,1
"Duan, Xiaohui",0.0019,0.009,0.0,0.0993,,,,,,,0,0,0,0,0,1
"Rossetti, Davide",0.0031,0.0,42788.3693,0.1182,95,13,10,20,10,532,0,0,0,0,0,3
"Ranellucci, Samuel",0.0006,0.0,0.0,0.0724,20,5,4,0,0,50,0,0,0,0,0,2
"Schwartz-Narbonne, Daniel",0.0009,0.0,0.0,0.0746,,,,,,,0,0,0,0,0,1
"Hopcroft, Michael",0.0019,0.0,0.0,0.1057,,,,,,,0,0,0,0,0,1
