author_name,degree,eigenvector,betweenness,closeness, npubs, hindex, hindex5y, i10index, i10index5y, citedby, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author
"Chandra, Abhishek",0.0003,0.0,0.0,0.0003,,,,93,23,19,0,4,0,0,0,1
"Weissman, Jon B.",0.0003,0.0,0.0,0.0003,,,,,,,,,,,,
"Silva, Pedro",0.0001,0.0,0.0,0.0004,,,,,,,0,0,0,0,0,1
"Pérez, Christian",0.0007,0.0,0.0,0.0007,,,,,,,0,1,0,0,0,0
"Deng, Dong",0.0012,0.0,0.0,0.0267,23,11,11,12,12,369,0,0,0,0,0,1
"Fernandez, Raul Castro",0.0012,0.0,0.0,0.0267,,,,,,,0,0,0,0,0,1
"Abedjan, Ziawasch",0.0012,0.0,0.0,0.0267,30,11,11,12,12,294,0,0,1,0,0,1
"Wang, Sibo",0.0017,0.0,0.0012,0.0267,,7,4,4,4,4,0,0,0,0,0,2
"Stonebraker, Michael",0.0012,0.0,0.0,0.0267,,,,,,,1,0,1,0,0,1
"Elmagarmid, Ahmed K.",0.0012,0.0,0.0,0.0267,,,,,,,,,,,,
"Ilyas, Ihab F.",0.0012,0.0,0.0,0.0267,,,,,,,,,,,,
"Madden, Samuel",0.0024,0.0,0.0027,0.0287,,,340,76,60,174,0,0,0,0,1,3
"Ouzzani, Mourad",0.0012,0.0,0.0,0.0267,,143,25,18,46,32,0,0,0,0,0,2
"Tang, Nan",0.0012,0.0,0.0,0.0267,,58,18,16,24,19,0,1,0,0,0,2
"Chandran, Nishanth",0.0012,0.0,0.0014,0.0333,,39,13,12,16,15,0,0,0,0,0,2
"Garay, Juan A.",0.0004,0.0,0.0,0.0315,,,,,,,,,,,,
"Mohassel, Payman",0.0007,0.0,0.0015,0.0326,,,56,16,14,22,0,0,0,0,0,3
"Vusirikala, Satyanarayana",0.0004,0.0,0.0,0.0315,2,1,1,0,0,3,0,0,0,0,0,1
"Chen, Qi Alfred",0.0013,0.0,0.0,0.0366,,19,7,7,5,5,0,0,0,0,0,2
"Thomas, Matthew",0.0007,0.0,0.0,0.0366,27,5,5,2,2,110,0,0,0,0,0,1
"Osterweil, Eric",0.0007,0.0,0.0,0.0366,83,14,12,23,17,1852,0,0,0,0,0,1
"Cao, Yulong",0.0007,0.0,0.0,0.0366,,,,,,,0,0,0,0,0,1
"You, Jie",0.0007,0.0,0.0,0.0366,,,,,,,0,0,0,0,0,1
"Mao, Zhuoqing Morley",0.002,0.0,0.001,0.0403,,,,,,,,,,,,
"Koo, Gunjae",0.0012,0.0,0.0,0.0529,,10,3,3,2,2,0,0,0,0,0,2
"Oh, Yunho",0.0004,0.0,0.0,0.0499,,,,,,,,,,,,
"Ro, Won Woo",0.0004,0.0,0.0,0.0499,150,12,11,19,16,536,0,0,0,0,0,1
"Annavaram, Murali",0.0024,0.0,0.0253,0.0571,,,,,,,0,2,1,0,0,6
"Lie, David",0.0015,0.0,0.0,0.0015,,,48,19,17,27,0,1,0,0,0,3
"Maniatis, Petros",0.0012,0.0,0.0,0.0012,,87,35,26,51,38,0,0,0,0,0,2
"Tyagi, Nirvan",0.0005,0.0,0.0,0.0443,,,,,,,0,0,0,0,0,1
"Gilad, Yossi",0.0015,0.0,0.0011,0.0449,,,31,8,7,4,0,0,0,0,0,3
"Leung, Derek",0.0005,0.0,0.0,0.0443,26,10,10,11,10,433,0,0,0,0,0,1
"Zaharia, Matei",0.0011,0.0,0.0004,0.0443,,,91,32,30,50,0,1,0,0,0,3
"Zeldovich, Nickolai",0.0023,0.0,0.0022,0.0498,,,,116,40,39,0,1,0,0,0,4
"Chen, Feng",0.0004,0.0,0.0,0.0004,86,13,13,18,16,742,0,1,0,0,0,1
"Zhou, Baojian",0.0004,0.0,0.0,0.0005,10,3,3,0,0,14,0,0,0,0,0,1
"Alim, Adil",0.0004,0.0,0.0,0.0005,3,0,0,0,0,0,0,0,0,0,0,1
"Zhao, Liang",0.0008,0.0,0.0,0.0008,,27,8,8,8,8,0,1,0,0,0,2
"Baek, Hyun Wook",0.0003,0.0,0.0,0.0378,,,,,,,,,,,,
"Srivastava, Abhinav",0.0003,0.0,0.0,0.0378,26,14,14,17,15,983,0,0,0,0,0,1
"Merwe, Jacobus E. Van Der",0.0021,0.0,0.0013,0.0418,,,,,,,,,,,,
"Zhang, Rui",0.0005,0.0,0.0,0.0005,,,,,,,,,,,,
"Stanley, Natalie",0.0005,0.0,0.0,0.0005,6,2,2,2,2,24,0,0,0,0,0,1
"Griggs, Christopher",0.0005,0.0,0.0,0.0005,,,,,,,0,0,0,0,0,1
"Chi, Andrew",0.0005,0.0,0.0,0.0005,6,2,2,2,2,34,0,0,0,0,0,1
"Sturton, Cynthia",0.0005,0.0,0.0,0.0005,21,5,4,2,2,128,0,0,0,0,0,1
"Tan, Tian",0.0003,0.0,0.0,0.0003,12,5,5,3,3,78,0,0,0,0,0,1
"Li, Yue",0.0003,0.0,0.0,0.0003,11,7,7,4,4,111,0,0,0,0,0,1
"Xue, Jingling",0.0003,0.0,0.0,0.0003,252,26,21,79,54,2983,0,1,0,0,0,1
"Faragardi, Hamid Reza",0.0004,0.0,0.0,0.0004,23,8,8,8,8,136,0,0,0,0,0,1
"Fotouhi, Hossein",0.0004,0.0,0.0,0.0004,62,9,8,9,7,260,0,0,0,0,0,1
"Nolte, Thomas",0.0004,0.0,0.0,0.0004,367,28,22,71,51,2726,0,0,0,0,0,1
"Rahmani, Rahim",0.0004,0.0,0.0,0.0004,63,6,6,5,5,213,0,0,0,0,0,1
"Wei, Michael",0.0017,0.0,0.0011,0.053,,,23,9,9,9,0,2,1,0,0,2
"Tai, Amy",0.0015,0.0,0.0,0.053,3,1,1,0,0,4,0,0,0,0,0,1
"Rossbach, Christopher J.",0.0023,0.0,0.0048,0.0543,,,,,41,14,0,4,1,0,0,2
"Abraham, Ittai",0.0019,0.0,0.0036,0.0537,,109,35,21,58,44,0,1,0,0,0,2
"Munshed, Maithem",0.0015,0.0,0.0,0.053,,,,,,,0,0,0,0,0,1
"Dhawan, Medhavi",0.0015,0.0,0.0,0.053,,,,,,,0,0,0,0,0,1
"Stabile, Jim",0.0015,0.0,0.0,0.053,,,,,,,0,0,0,0,0,1
"Wieder, Udi",0.0015,0.0,0.0,0.053,47,22,18,27,24,2292,0,0,0,0,0,1
"Fritchie, Scott",0.0015,0.0,0.0,0.053,,,,,,,0,0,0,0,0,1
"Swanson, Steven",0.0038,0.0,0.0205,0.0566,,,,,,134,0,1,0,0,0,6
"Freedman, Michael J.",0.0027,0.0,0.0151,0.0558,,,,135,39,32,0,0,0,0,0,4
"Malkhi, Dahlia",0.0015,0.0,0.0,0.053,193,46,24,98,59,7534,0,1,1,0,0,1
"Hanczewski, Slawomir",0.0003,0.0,0.0,0.0003,51,10,9,10,9,233,0,0,0,0,0,1
"Stasiak, Maciej",0.0003,0.0,0.0,0.0003,192,20,16,47,35,1470,0,0,1,0,0,1
"Weissenberg, Joanna",0.0003,0.0,0.0,0.0003,,,,,,,0,0,0,0,0,1
"Albarghouthi, Aws",0.0004,0.0,0.0,0.0006,28,12,12,12,12,507,0,0,0,0,0,1
"D'Antoni, Loris",0.0009,0.0,0.0,0.0009,,,42,13,13,15,0,0,1,0,0,3
"Drews, Samuel",0.0004,0.0,0.0,0.0006,,,,,,,0,0,0,0,0,1
"Nori, Aditya V.",0.0004,0.0,0.0,0.0006,,,,,,,,,,,,
"Kallurkar, Prathmesh",0.0001,0.0,0.0,0.0002,7,2,2,1,1,18,0,0,0,0,0,1
"Sarangi, Smruti R.",0.0003,0.0,0.0,0.0003,,82,16,13,17,16,0,1,0,0,0,2
"Lim, Robert V.",0.0003,0.0,0.0,0.0004,,,,,,,,,,,,
"Norris, Boyana",0.0007,0.0,0.0,0.0007,,,165,22,12,36,0,1,1,0,0,3
"Malony, Allen D.",0.0003,0.0,0.0,0.0004,,,,,,,,,,,,
"Dash, Sajal",0.0004,0.0,0.0,0.0375,1,0,0,0,0,0,0,0,0,0,0,1
"Verma, Anshuman",0.0004,0.0,0.0,0.0375,4,1,1,0,0,4,0,0,0,0,0,1
