author_name,degree,eigenvector,betweenness,closeness
"Chi, Andrew",0.0005,0.0,0.0,0.0005
"Sturton, Cynthia",0.0005,0.0,0.0,0.0005
"Tan, Tian",0.0003,0.0,0.0,0.0003
"Li, Yue",0.0003,0.0,0.0,0.0003
"Xue, Jingling",0.0003,0.0,0.0,0.0003
"Faragardi, Hamid Reza",0.0004,0.0,0.0,0.0004
"Fotouhi, Hossein",0.0004,0.0,0.0,0.0004
"Nolte, Thomas",0.0004,0.0,0.0,0.0004
"Rahmani, Rahim",0.0004,0.0,0.0,0.0004
"Wei, Michael",0.0017,0.0,0.0011,0.053
"Tai, Amy",0.0015,0.0,0.0,0.053
"Rossbach, Christopher J.",0.0023,0.0,0.0048,0.0543
"Abraham, Ittai",0.0019,0.0,0.0036,0.0537
"Munshed, Maithem",0.0015,0.0,0.0,0.053
"Dhawan, Medhavi",0.0015,0.0,0.0,0.053
"Stabile, Jim",0.0015,0.0,0.0,0.053
"Wieder, Udi",0.0015,0.0,0.0,0.053
"Fritchie, Scott",0.0015,0.0,0.0,0.053
"Swanson, Steven",0.0038,0.0,0.0205,0.0566
"Freedman, Michael J.",0.0027,0.0,0.0151,0.0558
"Malkhi, Dahlia",0.0015,0.0,0.0,0.053
"Hanczewski, Slawomir",0.0003,0.0,0.0,0.0003
"Stasiak, Maciej",0.0003,0.0,0.0,0.0003
"Weissenberg, Joanna",0.0003,0.0,0.0,0.0003
"Albarghouthi, Aws",0.0004,0.0,0.0,0.0006
"D'Antoni, Loris",0.0009,0.0,0.0,0.0009
"Drews, Samuel",0.0004,0.0,0.0,0.0006
"Nori, Aditya V.",0.0004,0.0,0.0,0.0006
"Kallurkar, Prathmesh",0.0001,0.0,0.0,0.0002
"Sarangi, Smruti R.",0.0003,0.0,0.0,0.0003
"Lim, Robert V.",0.0003,0.0,0.0,0.0004
"Norris, Boyana",0.0007,0.0,0.0,0.0007
"Malony, Allen D.",0.0003,0.0,0.0,0.0004
"Dash, Sajal",0.0004,0.0,0.0,0.0375
"Verma, Anshuman",0.0004,0.0,0.0,0.0375
"North, Chris",0.0004,0.0,0.0,0.0375
"Feng, Wu-Chun",0.0027,0.0,0.0041,0.0415
"Xu, Wen",0.0011,0.0,0.0,0.0058
"Kashyap, Sanidhya",0.0004,0.0,0.0,0.0056
"Min, Changwoo",0.0004,0.0,0.0,0.0056
"Kim, Taesoo",0.0032,0.0,0.0002,0.0072
"Cai, Renqin",0.0003,0.0,0.0,0.0003
"Wang, Chi",0.0003,0.0,0.0,0.0003
"Wang, Hongning",0.0003,0.0,0.0,0.0003
"Hidders, Jan",0.0003,0.0,0.0,0.0003
"Paredaens, Jan",0.0003,0.0,0.0,0.0003
"Bussche, Jan Van Den",0.0003,0.0,0.0,0.0003
"Ringer, Talia",0.0004,0.0,0.0,0.0294
"Grossman, Dan",0.0008,0.0,0.0003,0.0317
"Schwartz-Narbonne, Daniel",0.0004,0.0,0.0,0.0294
"Tasiran, Serdar",0.0004,0.0,0.0,0.0294
