author_name,degree,eigenvector,betweenness,closeness,npubs,hindex,hindex5y,i10index,i10index5y,citedby,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author
"Pai, Sreepathi",0.004,0.0,24526.0,0.1101,13,4,4,3,3,142,0,0,0,0,0,3
"Koenig, Gregory A.",0.0026,0.0,0.0,0.0924,,,,,,,,,,,,
"Dang, Yingnong",0.0017,0.0,0.0,0.101,77,20,14,29,19,1069,0,0,0,0,0,1
"Trahan, Jerry L.",0.0011,0.0,0.0,0.0988,84,16,6,26,4,763,0,0,0,0,0,1
"Li, Frank",0.002,0.0,5129.1416,0.1051,15,7,7,7,7,484,0,0,0,0,0,5
"Narayanan, Shankaranarayanan Puzhavakath",0.0023,0.0,0.0,0.0916,19,4,4,3,3,80,0,0,0,0,0,1
"Melhem, Rami G.",0.0026,0.0,31514.0,0.0707,,,,,,,,,,,,
"Pokam, Gilles",0.0011,0.0,0.0,0.0845,76,18,16,21,18,1153,0,0,0,0,0,2
"Li, Bo",0.0006,0.0,0.0,0.0866,23,6,5,3,3,95,0,0,0,0,0,1
"Daglis, Alexandros",0.002,0.0,0.0,0.1003,7,3,3,2,2,82,0,0,0,0,0,1
"Waidner, Michael",0.0003,0.0,0.0,0.0968,289,56,29,124,62,13409,0,0,0,0,0,1
"Cao, Thang",0.0028,0.0,3506.0,0.0921,,,,,,,0,0,0,0,0,2
"Hamann, Bernd",0.0023,0.0001,0.0,0.1001,537,49,32,174,92,9499,0,0,0,0,0,1
"Wang, Xinliang",0.0023,0.0,0.0,0.105,,,,,,,0,0,0,0,0,1
"Awadallah, Ahmed Hassan",0.002,0.0,17520.0,0.0901,108,20,19,38,32,1524,0,1,0,0,0,1
"Greschbach, Benjamin",0.0011,0.0,0.0,0.1004,,,,,,,0,0,0,0,0,1
"Robertson, William",0.0014,0.0,0.0,0.0936,71,27,26,36,35,3476,0,2,2,0,0,1
"Li, Sheng",0.0014,0.0,0.0,0.1101,41,12,10,13,10,2326,0,1,0,0,0,1
"Ellsworth, Daniel A.",0.0023,0.0,0.0,0.0921,,,,,,,,,,,,
"Han, Li",0.0011,0.0,0.0,0.0955,,,,,,,0,0,0,0,0,1
"Peng, Yanghua",0.0014,0.0,0.0,0.101,,,,,,,0,0,0,0,0,1
"Guo, Wentian",0.0009,0.0,0.0,0.1095,,,,,,,0,0,0,0,0,1
"Shelat, Abhi",0.002,0.0,3508.0,0.1056,,,,,,,0,2,1,0,0,2
"Liu, Ning",0.0043,0.0,0.0,0.1194,28,6,6,4,3,139,0,0,0,0,0,1
"Yasukata, Kenichi",0.0037,0.0,5252.5,0.102,5,3,3,1,1,24,0,0,0,0,0,3
"Tirmazi, Muhammad",0.0006,0.0,0.0,0.0934,2,0,0,0,0,0,0,0,0,0,0,1
"Hobson, Thomas",0.0031,0.0,0.0,0.0928,6,4,4,4,4,119,0,0,0,0,0,1
"Knowles, Peter",0.004,0.0,0.0,0.0941,166,57,29,108,64,23377,0,0,0,0,0,1
"Mokhtar, Sonia Ben",0.0014,0.0,0.0,0.0933,81,19,16,30,27,1403,0,2,1,0,0,1
"Lee, Wonchan",0.002,0.0,0.0,0.0828,56,16,13,20,16,652,0,0,0,0,0,1
