name, gs_email, as_pc_chair, as_pc, as_session_chair, as_panelist, as_keynote_speaker, as_author, pc_chairs, pcs, session_chairs, panels, keynotes, papers, gender, country, sector, npubs, hindex, hindex5y, i10index, i10index5y, citedby
"Acer, Seher", @bilkent.edu.tr, 0, 0, 0, 0, 0, 1, , , , , , EuroPar_17_038, F, TR, EDU, 10, 2, 2, 0, 0, 15
"Acharya, Ayan", @utexas.edu, 0, 1, 0, 0, 0, 0, , ICDM, , , , , M, US, EDU, 50, 12, 11, 12, 12, 488
"Achermann, Reto", @inf.ethz.ch, 0, 0, 0, 0, 0, 1, , , , , , HotOS_17_023, , CH, EDU, 9, 3, 3, 0, 0, 25
"Acun, Bilge", @illinois.edu, 0, 0, 0, 0, 0, 1, , , , , , HiPC_17_026, F, US, EDU, 14, 5, 5, 4, 4, 132
"Adam, Omer", , 0, 0, 0, 0, 0, 1, , , , , , CCGrid_17_062, M, , , , , , , , 
"Adams, Michael D.", @utah.edu, 0, 0, 0, 0, 0, 1, , , , , , OOPSLA_17_042, , US, EDU, 27, 10, 8, 10, 8, 238
"Adams, Trent", , 0, 0, 0, 0, 1, 0, , , , , NDSS, , M, , , , , , , , 
"Adamsen, Christoffer Quist", @cs.au.dk, 0, 0, 0, 0, 0, 1, , , , , , OOPSLA_17_038, M, DK, EDU, 4, 2, 2, 1, 1, 32
"Adeniyi-Jones, Chris", , 0, 1, 0, 0, 0, 0, , EuroPar, , , , , M, , , , , , , , 
"Adersberger, Josef", , 0, 0, 0, 0, 0, 1, , , , , , FAST_17_016, M, , , , , , , , 
"Adhinarayanan, Vignesh", @vt.edu, 0, 0, 0, 0, 0, 1, , , , , , IPDPS_17_096, M, US, EDU, 11, 4, 4, 1, 1, 40
"Adib, Fadel", @mit.edu, 0, 1, 1, 0, 0, 2, , MobiCom, MobiCom, , , "SIGCOMM_17_021, MobiCom_17_019", M, US, EDU, 25, 10, 10, 10, 10, 972
"Adrian, David", @umich.edu, 0, 0, 0, 0, 0, 1, , , , , , NDSS_17_024, M, US, EDU, 9, 6, 6, 6, 6, 393
"Adve, Sarita V.", @illinois.edu, 0, 0, 0, 0, 0, 2, , , , , , "ISCA_17_013, IISWC_17_030", F, US, EDU, 216, 57, 33, 106, 69, 13074
"Afroz, Sadia", @icsi.berkeley.edu, 0, 1, 0, 0, 0, 0, , CCS, , , , , F, US, EDU, 31, 15, 15, 15, 15, 637
"Afsahi, Ahmad", , 0, 2, 0, 0, 0, 1, , "IPDPS, HPCC", , , , HiPC_17_037, M, , , , , , , , 
"Aftandilian, Edward", @google.com, 0, 1, 0, 0, 0, 1, , PLDI, , , , OOPSLA_17_014, M, , COM, 9, 6, 6, 6, 6, 164
"Aga, Misiker Tadesse", @umich.edu, 0, 0, 0, 0, 0, 1, , , , , , HPCA_17_022, M, US, EDU, 4, 1, 1, 0, 0, 2
"Aga, Shaizeen", @umich.edu, 0, 0, 0, 0, 0, 2, , , , , , "ISCA_17_008, HPCA_17_036", F, US, EDU, 6, 1, 1, 0, 0, 5
"Agache, Alexandru", , 0, 0, 0, 0, 0, 2, , , , , , "SIGCOMM_17_029, EuroSys_17_009", , , , , , , , , 
"Agarwal, Deepak", , 0, 0, 0, 1, 0, 0, , , , KDD, , , M, , , , , , , , 
"Agarwal, Neha", @umich.edu, 0, 0, 0, 0, 0, 1, , , , , , ASPLOS_17_043, , US, EDU, 8, 5, 5, 4, 4, 147
"Agarwal, Nipun", , 0, 0, 0, 0, 0, 1, , , , , , MICRO_17_019, , , , , , , , , 
"Agarwal, Rachit", @cs.cornell.edu, 0, 1, 0, 0, 0, 2, , ATC, , , , "EuroSys_17_008, SIGMOD_17_051", M, US, EDU, 33, 12, 11, 14, 11, 637
"Agarwal, Sameer", @cs.berkeley.edu, 0, 1, 0, 0, 0, 0, , SOCC, , , , , M, US, EDU, 18, 10, 10, 10, 10, 960
"Agarwal, Sharad", @microsoft.com, 0, 2, 0, 0, 0, 0, , "NSDI, MobiCom", , , , , M, , COM, 115, 26, 19, 36, 30, 3975
"Ageev, Mikhail", @yandex.com, 0, 1, 0, 0, 0, 0, , SIGIR, , , , , M, , COM, 48, 11, 7, 13, 6, 409
"Aggarwal, Charu", @us.ibm.com, 0, 1, 0, 0, 0, 5, , ICDM, , , , "KDD_17_025, KDD_17_034, KDD_17_035, KDD_17_044, ICDM_17_002", M, US, COM, 575, 84, 65, 261, 223, 33296
"Aggarwal, Pooja", , 0, 0, 0, 0, 0, 1, , , , , , HiPC_17_011, F, , , , , , , , 
"Aghayev, Abutalib", , 0, 0, 0, 0, 0, 1, , , , , , FAST_17_008, , , , , , , , , 
"Agichtein, Eugene", @mathcs.emory.edu, 0, 2, 0, 0, 0, 0, , "SIGIR, SIGMOD", , , , , M, US, EDU, 162, 38, 32, 73, 60, 8745
"Agostini, Elena", , 0, 0, 0, 0, 0, 1, , , , , , CCGrid_17_014, F, , , , , , , , 
"Agrawal, Abhinav", @ncsu.edu, 0, 0, 0, 0, 0, 2, , , , , , "SC_17_058, IISWC_17_031", , US, EDU, 5, 1, 1, 0, 0, 1
"Agrawal, Abhishek", @intel.com, 0, 1, 0, 0, 0, 0, , IGSC, , , , , M, , COM, 17, 3, 3, 1, 1, 31
"Agrawal, Aditya", @illinois.edu, 0, 0, 0, 0, 0, 3, , , , , , "SIGMETRICS_17_015, MICRO_17_007, MICRO_17_041", , US, EDU, 13, 4, 4, 4, 4, 152
"Agrawal, Ankit", @eecs.northwestern.edu, 0, 1, 0, 0, 0, 2, , ICDM, , , , "HiPC_17_010, HiPC_17_023", M, US, EDU, 138, 19, 17, 46, 42, 1552
"Agrawal, Divyakant", @cs.ucsb.edu, 0, 0, 0, 0, 0, 2, , , , , , "HotCloud_17_014, SIGMOD_17_081", , US, EDU, 699, 73, 42, 280, 140, 19811
"Agrawal, Gagan", @cse.ohio-state.edu, 1, 2, 1, 0, 0, 2, HiPC, "PACT, CCGrid", HiPC, , , "PPoPP_17_019, CCGrid_17_029", M, US, EDU, 370, 36, 26, 123, 71, 4801
