paper_id,paper_key
00058354250940674c4117796a8f50b492d7879e,HPCA_17_012
000f18a98b1a305d5ff07972b2a63849f9b26908,PACT_17_025
002fe9a7c5f0522279974faa4eeadc70838eb862,IPDPS_17_010
003269cbab91ddf9f86833883fafd6ddaa61b038,ISPASS_17_010
00388d4a976d40a182b2ad37e05f65b1def0afd1,KDD_17_052
003ee7658359e89867ae41397ccd8490e86f7a9c,SIGCOMM_17_013
004c2345477eda977f12b4485ac24a9e41557439,ISCA_17_037
005b005eba413972ff1be3f102e229e730e051b0,OOPSLA_17_054
00949bff493a83be184650c80e94a74b9e238b52,PACT_17_020
00be8c5ef2a75a205172d0f2bfb24caabecbdefd,ISCA_17_006
00caa4dea9216bec01b465f8a69d0e1becc07b7a,FAST_17_013
00cc482570d739e7b733f45b6f8f1836b24056bd,MICRO_17_023
00d3d1554166ab1dd91089111dabac7ca456f5be,SOSP_17_012
00e534fdc29233aef6e44d5b716043d226b7b882,SYSTOR_17_016
00fdad565f3bb86294580fc01664bdbe862f1b06,EuroPar_17_041
011f7f9ba9e6f9bc7f05994271725bc0fc9c3b94,CIDR_17_005
013ab8df817d07f52167163ce85519d64b85390e,CCS_17_018
014b09f5b1872a7aa70ec233c2746ee1cb93f7cd,CCS_17_058
014d28ef6ad36b22c1a4edb43c1b34bc7981b2e3,ISCA_17_024
016bb661e767d8fa2491743d289b11cfc41e3efb,HotOS_17_028
016d1541f81655d3c193aafcfb3e9fab64dba2b3,SOSP_17_026
017424c0bd3f3208e109998c54db1d294022fe80,ICDM_17_058
017c91abd8adf741a4e8b06daf93a964fc57a820,CCGrid_17_009
01814d50f0a7699f264c21d986ccd1f390b101b2,ASPLOS_17_037
01cabaadb1da4f5fa0fba62bca31f7d70a9ab939,PLDI_17_018
01d83aa4653f1eefff1ea0f017b30423ff4f818f,HPCC_17_077
01d8f75b6382c7534a67637249122de28a780ce9,NSDI_17_003
01de7e8a5ec0c5de8c34ea2fc91d82b9db1c2715,HPCC_17_040
01e1cba36e403c5c620d49e3eda73b29fcfc616b,OOPSLA_17_020
01f42436042ddaa48998c87109cbe46cad6e7e52,MICRO_17_043
01f660b239de2a7d250315053170ee792a91f4b5,ICPP_17_053
0201403268e3aaa552165dfc53a86534151c3dd9,HPCC_17_002
020af9e8d35b7f6ca563397a8e82778dfa7dac7b,CCS_17_143
022086e6eebbc7bd7210a5f1217577f384f343a7,SIGIR_17_037
022c3fa7794ba53e2d275a7e985f48cd0ee0ed7e,PODS_17_014
026884b69b3d44c60312d339012e9733d4d631a7,OOPSLA_17_003
02700e7e0cdc291e55af704530e181e0da668c1e,SC_17_025
027158a5050a09a0f66188372e2eb1584215fac5,IMC_17_023
027188ede13c9f29bea0710921f7c341f045a75b,VEE_17_005
02904a446013931f3f3cd972c177dfcf841d6e16,ICPP_17_025
02b045984643113792882d30f28c2245cfbcf0e6,CCGrid_17_055
02d5ee5a61cd68cf47ad71a4dd9ae889149a2553,CCS_17_080
02e0f4e418638f3edfa037b1aed46c432ab3ac4f,EuroSys_17_013
02e770fe56cc33834c8e81e35ed39074471997f7,OOPSLA_17_052
02f036c820c1432a254895088a0d01abd4605449,SP_17_006
02fd71524e15de535d5e7aa6f79743352cac3992,NDSS_17_004
031048fe96d408fb5b0a245ebf2e313b51e4c90a,Cluster_17_024
0327efc1d7628328c44b81f452f808d4fe05d955,IPDPS_17_001
0330b64dff62e2d537f3bbb5b5a882194066a481,PPoPP_17_024
033492cf9e4fdd36380065d7e6f31817ba561e57,ATC_17_007
033a16554eca0961d0f7002d0ef9515a01b18896,SIGIR_17_024
0343ae9ab99d0cbd719baf0d2cc1b82425f3664a,IISWC_17_010
0359692cf53e0b484f1c2e7048c15cc7f3b5f605,OOPSLA_17_064
036a89c1652d47ccdde91a5296de7c83042dbac5,CCS_17_119
037070f1e362b008254f45467c861db0b7406b04,OOPSLA_17_033
0378a60ebb240f3de23e763ebabe4daef3f02fe8,SIGMETRICS_17_004
038ec03e66ec8ed2593a4a7481b64e8f2bf1e9df,CCS_17_049
03a6e24e5423b4edbd1684779c60f3f70b57a7bb,MobiCom_17_021
03a7ecb0a3f1eff43ef7db66991ca37c7189d81c,ISCA_17_008
03a97821f3f77490f1c775501762985f10cd7be8,ATC_17_017
03b95c1c6859ce4f792ac6995137a6cfab60670c,HPCA_17_030
03c7a20c919dd3b6996124a96b199b0b2836d462,IPDPS_17_072
03df9cfd3eb3c4f8a4230c8ee389ccd74dcb8ac9,ICPP_17_001
03e82961baf648be80bfe8406660377b0b1feca7,PODS_17_007
